Title,Created Date, Modified Date,Severity Level,Status
[F5 BIG-IP iControl Rest API Command Execution - Webserver](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_f5_tm_utility_bash_api_request.yml),2023-11-08,2023-11-08,medium,test
[Successful IIS Shortname Fuzzing Scan](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_iis_tilt_shortname_scan.yml),2021-10-06,2023-01-02,medium,test
[Java Payload Strings](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_java_payload_in_access_logs.yml),2022-06-04,2023-01-19,high,test
[JNDIExploit Pattern](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_jndi_exploit.yml),2021-12-12,2022-12-25,high,test
[Path Traversal Exploitation Attempts](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_path_traversal_exploitation_attempt.yml),2021-09-25,2023-08-31,medium,test
[Source Code Enumeration Detection by Keyword](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_source_code_enumeration.yml),2019-06-08,2022-10-05,medium,test
[SQL Injection Strings In URI](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_sql_injection_in_access_logs.yml),2020-02-22,2023-09-04,high,test
[Server Side Template Injection Strings](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_ssti_in_access_logs.yml),2022-06-14,2022-06-14,high,test
[Suspicious User-Agents Related To Recon Tools](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_susp_useragents.yml),2022-07-19,2023-01-02,medium,test
[Suspicious Windows Strings In URI](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_susp_windows_path_uri.yml),2022-06-06,2023-01-02,high,test
[Webshell ReGeorg Detection Via Web Logs](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_webshell_regeorg.yml),2020-08-04,2023-01-02,high,test
[Windows Webshell Strings](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_win_webshells_in_access_logs.yml),2017-02-19,2022-11-18,high,test
[Cross Site Scripting Strings](https://github.com/SigmaHQ/sigma/blob/master/rules/web/webserver_generic/web_xss_in_access_logs.yml),2021-08-15,2022-06-14,high,test
[Microsoft Malware Protection Engine Crash](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/application_error/win_application_msmpeng_crash_error.yml),2017-05-09,2023-04-14,high,test
[Potential Credential Dumping Via WER - Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/application_error/win_werfault_susp_lsass_credential_dump.yml),2022-12-07,2022-12-07,high,test
[Ntdsutil Abuse](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/esent/win_esent_ntdsutil_abuse.yml),2022-08-14,2022-08-14,medium,test
[Dump Ntds.dit To Suspicious Location](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/esent/win_esent_ntdsutil_abuse_susp_location.yml),2022-08-14,2023-10-23,medium,test
[Audit CVE Event](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/microsoft-windows_audit_cve/win_audit_cve.yml),2020-01-15,2022-10-22,critical,test
[Backup Catalog Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/microsoft_windows_backup/win_susp_backup_delete.yml),2017-05-12,2022-12-25,medium,test
[Restricted Software Access By SRP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/microsoft_windows_software_restriction_policies/win_software_restriction_policies_block.yml),2023-01-12,2023-01-12,high,test
[Application Uninstalled](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/msiinstaller/win_builtin_remove_application.yml),2022-01-28,2022-09-17,low,test
[MSI Installation From Suspicious Locations](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/msiinstaller/win_msi_install_from_susp_locations.yml),2022-08-31,2023-10-23,medium,test
[MSI Installation From Web](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/msiinstaller/win_msi_install_from_web.yml),2022-10-23,2022-10-23,medium,test
[Atera Agent Installation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/msiinstaller/win_software_atera_rmm_agent_install.yml),2021-09-01,2022-12-25,high,test
[MSSQL Add Account To Sysadmin Role](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_add_sysadmin_account.yml),2022-07-13,2024-06-26,high,test
[MSSQL Disable Audit Settings](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_disable_audit_settings.yml),2022-07-13,2024-06-26,high,test
[MSSQL Server Failed Logon](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_failed_logon.yml),2023-10-11,2024-06-26,low,test
[MSSQL Server Failed Logon From External Network](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_failed_logon_from_external_network.yml),2023-10-11,2025-05-28,medium,test
[MSSQL SPProcoption Set](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_sp_procoption_set.yml),2022-07-13,2024-06-26,high,test
[MSSQL XPCmdshell Suspicious Execution](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_xp_cmdshell_audit_log.yml),2022-07-12,2024-06-26,high,test
[MSSQL XPCmdshell Option Change](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/mssqlserver/win_mssql_xp_cmdshell_change.yml),2022-07-12,2024-06-26,high,test
[Relevant Anti-Virus Signature Keywords In Application Log](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/Other/win_av_relevant_match.yml),2017-02-19,2024-12-25,high,test
[Remote Access Tool - ScreenConnect Command Execution](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/screenconnect/win_app_remote_access_tools_screenconnect_command_exec.yml),2023-10-10,2023-10-10,low,test
[Remote Access Tool - ScreenConnect File Transfer](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/screenconnect/win_app_remote_access_tools_screenconnect_file_transfer.yml),2023-10-10,2023-10-10,low,test
[Microsoft Malware Protection Engine Crash - WER](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/application/windows_error_reporting/win_application_msmpeng_crash_wer.yml),2017-05-09,2023-04-14,high,test
[File Was Not Allowed To Run](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/applocker/win_applocker_file_was_not_allowed_to_run.yml),2020-06-28,2021-11-27,medium,test
[Sysinternals Tools AppX Versions Execution](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appmodel_runtime/win_appmodel_runtime_sysinternals_tools_appx_execution.yml),2023-01-16,2023-09-12,low,test
[Deployment AppX Package Was Blocked By AppLocker](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_applocker_block.yml),2023-01-11,2023-01-11,medium,test
[Potential Malicious AppX Package Installation Attempts](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_mal_appx_names.yml),2023-01-11,2023-01-12,medium,test
[Deployment Of The AppX Package Was Blocked By The Policy](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_policy_block.yml),2023-01-11,2023-01-11,medium,test
[Suspicious AppX Package Installation Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_susp_appx_package_installation.yml),2023-01-11,2023-01-11,medium,test
[Suspicious Remote AppX Package Locations](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_susp_domains.yml),2023-01-11,2024-08-22,high,experimental
[Suspicious AppX Package Locations](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_susp_package_locations.yml),2023-01-11,2023-01-11,high,test
[Uncommon AppX Package Locations](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxdeployment_server/win_appxdeployment_server_uncommon_package_locations.yml),2023-01-11,2024-12-25,medium,test
[Suspicious Digital Signature Of AppX Package](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/appxpackaging_om/win_appxpackaging_om_sups_appx_signature.yml),2023-01-16,2023-01-16,medium,test
[New BITS Job Created Via Bitsadmin](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_job_via_bitsadmin.yml),2022-03-01,2023-03-27,low,test
[New BITS Job Created Via PowerShell](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_job_via_powershell.yml),2022-03-01,2023-03-27,low,test
[BITS Transfer Job Downloading File Potential Suspicious Extension](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_transfer_saving_susp_extensions.yml),2022-03-01,2023-03-27,medium,test
[BITS Transfer Job Download From File Sharing Domains](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_transfer_via_file_sharing_domains.yml),2022-06-28,2024-10-21,high,experimental
[BITS Transfer Job Download From Direct IP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_transfer_via_ip_address.yml),2023-01-11,2023-03-27,high,test
[BITS Transfer Job With Uncommon Or Suspicious Remote TLD](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_transfer_via_uncommon_tld.yml),2022-06-10,2024-12-25,medium,test
[BITS Transfer Job Download To Potential Suspicious Folder](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/bits_client/win_bits_client_new_trasnfer_susp_local_folder.yml),2022-06-28,2023-03-27,high,test
[Certificate Private Key Acquired](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/capi2/win_capi2_acquire_certificate_private_key.yml),2023-05-13,2023-05-13,medium,test
[Certificate Exported From Local Certificate Store](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/certificate_services_client_lifecycle_system/win_certificateservicesclient_lifecycle_system_cert_exported.yml),2023-05-13,2023-05-13,medium,test
[CodeIntegrity - Unmet Signing Level Requirements By File Under Validation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_attempted_dll_load.yml),2022-01-20,2024-12-25,low,experimental
[CodeIntegrity - Disallowed File For Protected Processes Has Been Blocked](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_blocked_protected_process_file.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Blocked Image/Driver Load For Policy Violation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_enforced_policy_block.yml),2022-11-10,2023-06-07,high,test
[CodeIntegrity - Blocked Driver Load With Revoked Certificate](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_revoked_driver_blocked.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Revoked Kernel Driver Loaded](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_revoked_driver_loaded.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Blocked Image Load With Revoked Certificate](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_revoked_image_blocked.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Revoked Image Loaded](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_revoked_image_loaded.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Unsigned Kernel Module Loaded](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_unsigned_driver_loaded.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Unsigned Image Loaded](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_unsigned_image_loaded.yml),2023-06-06,2023-06-06,high,test
[CodeIntegrity - Unmet WHQL Requirements For Loaded Kernel Module](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/code_integrity/win_codeintegrity_whql_failure.yml),2023-06-06,2023-06-14,high,test
[Loading Diagcab Package From Remote Path](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/diagnosis/scripted/win_diagnosis_scripted_load_remote_diagcab.yml),2022-08-14,2022-08-14,high,test
[DNS Query for Anonfiles.com Domain - DNS Client](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_client/win_dns_client_anonymfiles_com.yml),2023-01-16,2023-01-16,high,test
[DNS Query To MEGA Hosting Website - DNS Client](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_client/win_dns_client_mega_nz.yml),2023-01-16,2023-01-16,medium,test
[DNS Query To Put.io - DNS Client](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_client/win_dns_client_put_io.yml),2024-08-23,2024-08-23,medium,experimental
[Query Tor Onion Address - DNS Client](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_client/win_dns_client_tor_onion.yml),2022-02-20,2022-02-20,high,test
[DNS Query To Ufile.io - DNS Client](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_client/win_dns_client_ufile_io.yml),2023-01-16,2023-09-18,low,test
[Suspicious Cobalt Strike DNS Beaconing - DNS Client](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_client/win_dns_client__mal_cobaltstrike.yml),2023-01-16,2023-01-16,critical,test
[Failed DNS Zone Transfer](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_server/win_dns_server_failed_dns_zone_transfer.yml),2023-05-24,2023-05-24,medium,test
[DNS Server Error Failed Loading the ServerLevelPluginDLL](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/dns_server/win_dns_server_susp_server_level_plugin_dll.yml),2017-05-08,2023-02-05,high,test
[USB Device Plugged](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/driverframeworks/win_usb_device_plugged.yml),2017-11-09,2021-11-30,low,test
[Uncommon New Firewall Rule Added In Windows Firewall Exception List](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_add_rule.yml),2022-02-19,2024-08-29,medium,experimental
[New Firewall Rule Added In Windows Firewall Exception List For Potential Suspicious Application](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_add_rule_susp_folder.yml),2023-02-26,2024-05-10,high,test
[New Firewall Rule Added In Windows Firewall Exception List Via WmiPrvSE.EXE](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_add_rule_wmiprvse.yml),2024-05-10,2024-05-10,medium,test
[All Rules Have Been Deleted From The Windows Firewall Configuration](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_delete_all_rules.yml),2023-01-17,2024-01-22,high,test
[A Rule Has Been Deleted From The Windows Firewall Exception List](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_delete_rule.yml),2022-02-19,2024-08-29,medium,test
[The Windows Defender Firewall Service Failed To Load Group Policy](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_failed_load_gpo.yml),2022-02-19,2023-01-17,low,test
[Windows Defender Firewall Has Been Reset To Its Default Configuration](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_reset_config.yml),2022-02-19,2023-04-21,low,test
[Windows Firewall Settings Have Been Changed](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/firewall_as/win_firewall_as_setting_change.yml),2022-02-19,2023-04-21,low,test
[ETW Logging/Processing Option Disabled On IIS Server](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/iis-configuration/win_iis_logging_etw_disabled.yml),2024-10-06,2024-10-06,medium,experimental
[HTTP Logging Disabled On IIS Server](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/iis-configuration/win_iis_logging_http_disabled.yml),2024-10-06,2024-10-06,high,experimental
[New Module Module Added To IIS Server](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/iis-configuration/win_iis_module_added.yml),2024-10-06,2024-10-06,medium,experimental
[Previously Installed IIS Module Was Removed](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/iis-configuration/win_iis_module_removed.yml),2024-10-06,2024-10-06,low,experimental
[Potential Active Directory Reconnaissance/Enumeration Via LDAP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/ldap/win_ldap_recon.yml),2021-06-22,2024-08-27,medium,test
[Standard User In High Privileged Group](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/lsa_server/win_lsa_server_normal_user_admin.yml),2023-01-13,2023-05-05,medium,test
[ProxyLogon MSExchange OabVirtualDirectory](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_proxylogon_oabvirtualdir.yml),2021-08-09,2023-01-23,critical,test
[Certificate Request Export to Exchange Webserver](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_proxyshell_certificate_generation.yml),2021-08-23,2023-01-23,critical,test
[Mailbox Export to Exchange Webserver](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_proxyshell_mailbox_export.yml),2021-08-09,2023-04-30,critical,test
[Remove Exported Mailbox from Exchange Webserver](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_proxyshell_remove_mailbox_export.yml),2021-08-27,2023-01-23,high,test
[Exchange Set OabVirtualDirectory ExternalUrl Property](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_set_oabvirtualdirectory_externalurl.yml),2021-03-15,2023-01-23,high,test
[MSExchange Transport Agent Installation - Builtin](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_transportagent.yml),2021-06-08,2022-11-27,medium,test
[Failed MSExchange Transport Agent Installation](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/msexchange/win_exchange_transportagent_failed.yml),2021-06-08,2022-07-12,high,test
[NTLM Logon](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/ntlm/win_susp_ntlm_auth.yml),2018-06-08,2024-07-22,low,test
[NTLM Brute Force](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/ntlm/win_susp_ntlm_brute_force.yml),2022-02-02,2022-02-02,medium,test
[Potential Remote Desktop Connection to Non-Domain Host](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/ntlm/win_susp_ntlm_rdp.yml),2020-05-22,2021-11-27,medium,test
[OpenSSH Server Listening On Socket](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/openssh/win_sshd_openssh_server_listening_on_socket.yml),2022-10-25,2022-10-25,medium,test
[Potential Access Token Abuse](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_access_token_abuse.yml),2022-11-06,2023-04-26,medium,test
[Admin User Remote Logon](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_admin_rdp_login.yml),2017-10-29,2022-10-09,low,test
[DiagTrackEoP Default Login Username](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_diagtrack_eop_default_login_username.yml),2022-08-03,2022-08-03,critical,test
[A Member Was Added to a Security-Enabled Global Group](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_member_added_security_enabled_global_group.yml),2023-04-26,2023-04-26,low,stable
[A Member Was Removed From a Security-Enabled Global Group](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_member_removed_security_enabled_global_group.yml),2023-04-26,2023-04-26,low,stable
[Successful Overpass the Hash Attempt](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_overpass_the_hash.yml),2018-02-12,2021-11-27,high,test
[Pass the Hash Activity 2](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_pass_the_hash_2.yml),2019-06-14,2022-10-05,medium,stable
[Scanner PoC for CVE-2019-0708 RDP RCE Vuln](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_rdp_bluekeep_poc_scanner.yml),2019-06-02,2022-12-25,high,test
[RDP Login from Localhost](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_rdp_localhost_login.yml),2019-01-28,2022-10-09,high,test
[A Security-Enabled Global Group Was Deleted](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_security_enabled_global_group_deleted.yml),2023-04-26,2023-04-26,low,stable
[External Remote RDP Logon from Public IP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_successful_external_remote_rdp_login.yml),2023-01-19,2024-03-11,medium,test
[External Remote SMB Logon from Public IP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_successful_external_remote_smb_login.yml),2023-01-19,2024-03-11,high,test
[Failed Logon From Public IP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_susp_failed_logon_source.yml),2020-05-06,2024-03-11,medium,test
[Outgoing Logon with New Credentials](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_susp_logon_newcredentials.yml),2022-04-06,2022-04-06,low,test
[Potential Privilege Escalation via Local Kerberos Relay over LDAP](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_susp_privesc_kerberos_relay_over_ldap.yml),2022-04-27,2024-08-13,high,test
[RottenPotato Like Attack Pattern](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_susp_rottenpotato.yml),2019-11-15,2022-12-22,high,test
[Successful Account Login Via WMI](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/account_management/win_security_susp_wmi_login.yml),2019-12-04,2024-01-17,low,stable
[Windows Filtering Platform Blocked Connection From EDR Agent Binary](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/object_access/win_security_wfp_endpoint_agent_blocked.yml),2024-01-08,2024-01-08,high,test
[Azure AD Health Monitoring Agent Registry Keys Access](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_aadhealth_mon_agent_regkey_access.yml),2021-08-26,2022-10-09,medium,test
[Azure AD Health Service Agents Registry Keys Access](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_aadhealth_svc_agent_regkey_access.yml),2021-08-26,2022-10-09,medium,test
[Powerview Add-DomainObjectAcl DCSync AD Extend Right](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_account_backdoor_dcsync_rights.yml),2019-04-03,2022-08-16,high,test
[AD Privileged Users or Groups Reconnaissance](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_account_discovery.yml),2019-04-03,2022-07-13,high,test
[ADCS Certificate Template Configuration Vulnerability](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_adcs_certificate_template_configuration_vulnerability.yml),2021-11-17,2022-12-25,low,test
[ADCS Certificate Template Configuration Vulnerability with Risky EKU](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_adcs_certificate_template_configuration_vulnerability_eku.yml),2021-11-17,2022-12-25,high,test
[Add or Remove Computer from DC](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_add_remove_computer.yml),2022-10-14,2022-10-14,low,test
[Access To ADMIN$ Network Share](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_admin_share_access.yml),2017-03-04,2024-01-16,low,test
[AD Object WriteDAC Access](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_ad_object_writedac_access.yml),2019-09-12,2021-11-27,critical,test
[Active Directory Replication from Non Machine Account](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_ad_replication_non_machine_account.yml),2019-07-26,2021-11-27,critical,test
[Potential AD User Enumeration From Non-Machine Account](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_ad_user_enumeration.yml),2020-03-30,2022-11-08,medium,test
[Enabled User Right in AD to Control User Objects](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_alert_active_directory_user_control.yml),2017-07-30,2021-12-02,high,test
[Active Directory User Backdoors](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_alert_ad_user_backdoors.yml),2017-04-13,2024-02-26,high,test
[Weak Encryption Enabled and Kerberoast](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_alert_enable_weak_encryption.yml),2017-07-30,2021-11-27,high,test
[Hacktool Ruler](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_alert_ruler.yml),2017-05-31,2022-10-09,high,test
[Remote Task Creation via ATSVC Named Pipe](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_atsvc_task.yml),2019-04-03,2024-08-01,medium,test
[Security Eventlog Cleared](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_audit_log_cleared.yml),2017-01-10,2022-02-24,high,test
[Processes Accessing the Microphone and Webcam](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_camera_microphone_access.yml),2020-06-07,2021-11-27,medium,test
[CobaltStrike Service Installations - Security](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_cobaltstrike_service_installs.yml),2021-05-26,2022-11-27,high,test
[Failed Code Integrity Checks](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_codeintegrity_check_failure.yml),2019-12-03,2025-01-19,informational,stable
[DCERPC SMB Spoolss Named Pipe](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_dce_rpc_smb_spoolss_named_pipe.yml),2018-11-28,2022-08-11,medium,test
[DCOM InternetExplorer.Application Iertutil DLL Hijack - Security](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_dcom_iertutil_dll_hijack.yml),2020-10-12,2022-11-26,high,test
[Mimikatz DC Sync](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_dcsync.yml),2018-06-03,2022-04-26,high,test
[Device Installation Blocked](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_device_installation_blocked.yml),2022-10-14,2022-10-14,medium,test
[Windows Event Auditing Disabled](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_disable_event_auditing.yml),2017-11-19,2023-11-15,low,test
[Important Windows Event Auditing Disabled](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_disable_event_auditing_critical.yml),2023-06-20,2023-11-17,high,test
[ETW Logging Disabled In .NET Processes - Registry](https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/security/win_security_dot_net_etw_tamper.yml),2020-06-05,2022-12-20,high,test
